127.0.0.1 - - [26/Jul/2024:14:05:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/IT2259_HomePage.jsp HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/IT2259_Home.css HTTP/1.1" 200 6581
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/IT2259_footer.css HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/IT2259_event.css HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/IT2259_homeEvent.js HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:05:57 +0530] "GET /CustomerDe/logo.png HTTP/1.1" 200 24786
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:23 +0530] "GET /CustomerDe/IT2259_HomePage.jsp HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:23 +0530] "GET /CustomerDe/IT2259_About.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:27 +0530] "GET /CustomerDe/IT2259_Login.jsp HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:27 +0530] "GET /CustomerDe/IT2259_login.css HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:40 +0530] "POST /CustomerDe/log HTTP/1.1" 200 2417
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:45 +0530] "GET /CustomerDe/IT2259_CustomerInsert.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:45 +0530] "GET /CustomerDe/IT2259_CustomerInsert.css HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:45 +0530] "GET /CustomerDe/event.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:53 +0530] "POST /CustomerDe/insert HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:53 +0530] "GET /CustomerDe/IT2259_errorpage.css HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [26/Jul/2024:14:06:57 +0530] "GET /CustomerDe/IT2259_HomePage.jsp HTTP/1.1" 200 7137
